New York	NY *	813669
Philadelphia	PA *	565529
Brooklyn	NY *	266661
Baltimore	MD.	212418
Boston	MA	177840
New Orleans	LA	168675
Cincinnati	OH	161044
St. Louis	MO	160773
Chicago	IL	112172
Gloucester	MA	109047
Buffalo	NY	81129
Newark	NJ	71941
Louisville	KY	68033
Albany	NY	62367
Washington	DC	61122
San Francisco	CA	56802
Providence	RI	50666
Pittsburgh	PA	49221
Rochester	NY	48204
Detroit	MI	45619
Milwaukee	WI	45246
Cleveland	OH	43417
Charleston	SC	40522
New Haven	CT	39267
Troy	NY	39235
Richmond	VA	37910
Lowell	MA	36827
Mobile	AL	29258
Jersey City	NJ.	29226
Allegheny	PA	28702
Syracuse	NY	28119
Hartford	CT	26917
Portland	ME	26341
Cambridge	MA	26060
Roxbury	MA	25137
Charlestown	MA	25065
Worcester	MA	24960
Reading	PA	23162
Memphis	TN	22623
Utica	NY	22529
New Bedford	MA	22300
Savannah	GA	22292
Salem	MA.	22252
Wilmington	DE	21258
Manchester	NH	20107
Dayton	OH	20081
Paterson	NJ	19586
Lynn	MA	19083
Indianapolis	IN	18611
Columbus	OH	18554
Petersburg	VA	18266
Lawrence	MA	17639
Lancaster	PA.	17603
Trenton	NJ.	17228
Nashville	TN.	16988
Oswego	NY	16816
Covington	KY.	16471
Bangor	ME	16407
Taunton	MA.	15376
Springfield	MA.	15199
Poughkeepsie	NY	14726
Norfolk	VA.	14620
Camden	NJ	14358
Wheeling	VA *	14083
Norwich	CT.	14048
Peoria	IL	14045
Fall River	MA	14026
Sacramento	CA	13785
Toledo	OH	13768
Quincy	IL	13718
Harrisburg	PA	13405
Newburyport	MA.	13401
Chelsea	MA.	13395
Dubuque	IA.	13000
Alexandria	VA	12652
New Albany	IN	12647
Newburgh	NY *.	12578
Augusta	GA.	12493
Bridgeport	CT *	12106
North Providence	RI *	11818
Elizabeth	NJ.	11567
Evansville	IN	11484
Davenport	IA.	11267
New Brunswick	NJ.	11256
Auburn	NY	10986
Concord	NH.	10896
Lockport	NY *.	10871
Newport	RI.	10508
St. Paul	MN	10401
New London	CT	10115
Nashua	NH	10065
Waterbury	CT.	10004
Haverhill	MA.	9995
Dorchester	MA *	9769
Hoboken	NJ.	9662
Schenectady	NY.	9579
Atlanta	GA.	9554
